0,18173139
3600,7515748
7199,6422794
10799,6176180
14399,6056642
17998,5956920
21599,5897852
25199,5843046
28793,5793801
32399,5757855
35999,5722810
39598,5691092
43197,5670487
46799,5657363
50399,5645149
53998,5628159
57587,5612541
61197,5597214
64799,5586179
68391,5576552
71988,5562888
75598,5557308
79194,5551696
82796,5548852
86396,5541501
89998,5532885
93578,5527657
97198,5521567
100789,5519341
104366,5514428
107997,5511609
111582,5504119
115163,5496882
118799,5485055
122393,5478901
125998,5474328
129587,5463069
133197,5457435
136785,5455913
140391,5451739
143990,5446378
147591,5442272
151195,5435045
154797,5424347
158396,5410848
161997,5392141
165595,5375642
169198,5366801
172794,5361870
176400,5354717
179969,5350124
183572,5345912
187189,5340825
190796,5337711
194388,5330935
197999,5317079
201599,5305075
205194,5292132
208790,5287115
212395,5280152
215989,5272405
219594,5268002
223194,5262332
226800,5257700
230399,5253543
233991,5248360
237568,5244236
241080,5237138
244796,5233849
248399,5223207
251915,5214079
255591,5209733
259195,5207488
262792,5204580
266396,5202845
269987,5198922
273598,5195535
277192,5192794
280799,5188567
284367,5187912
287990,5187610
291406,5182154
295199,5177833
298786,5174967
302391,5171861
305984,5171195
309512,5170117
313195,5166980
316790,5162292
320371,5159539
323993,5158576
327496,5158252
331155,5156687
334798,5156399
338386,5155363
341979,5150510
345483,5145334
