HILPDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPX7	20.18038	24.52950	26.03417	22.74606	25.87038	12.76337	21.01903	19.69329	22.55294	21.88213	18.63060	12.94056	17.48729	24.86146	22.00592	29.51664	20.08209	13.74937	21.63888	2.91990	20.95756	12.65016	33.90477	18.53532	14.93438	30.24676	12.94093	21.36891	9.39121	51.52454	24.68068	17.22535	13.44643	30.09618	13.83523	13.56766	12.79471	12.99681	10.21521	13.62848	7.36644	7.77339	4.96795	17.75108	12.58638	17.33416	25.52972	12.48729	1.44690	10.23406	14.55034	8.49909	23.26486	17.35829	7.37512	12.23075	15.79285	11.20106	11.51321	11.84728	18.79059	19.55687	19.02750	16.27426	10.68648	21.24124	12.22355	18.67427	21.87727	3.50319	13.46457	10.10638
ATP5B	292.28061	309.32676	322.62996	279.55449	307.59342	292.18483	310.13667	288.25021	267.20645	293.49821	269.84000	309.21752	286.67513	329.85366	318.85469	298.50948	315.01590	421.69221	265.82911	278.21359	194.02447	235.97847	376.75684	215.93144	346.04498	317.18286	343.35103	229.80103	278.05829	365.22196	401.72720	375.93233	279.66001	376.97532	337.57997	462.31672	371.65125	346.92950	222.49012	285.74314	338.30920	203.91963	225.43480	359.40702	332.99464	304.12547	409.72027	242.98426	195.93596	229.04666	299.74767	185.88223	434.70719	264.68721	264.01966	244.54054	356.25524	250.05543	310.50457	288.66707	338.02235	433.37831	313.46258	263.49286	202.48609	353.95817	303.63375	358.31819	456.32663	280.79263	324.87070	296.86411
CRMP1	1.19849	0.16342	0.21029	0.21445	0.18814	0.36204	0.34002	0.31697	0.18175	0.08170	0.25238	0.24870	0.21425	0.36926	0.33728	0.12938	0.24551	0.09422	20.02118	6.99119	0.00603	0.06173	0.00431	0.01181	0.00670	0.00000	19.30953	0.03250	0.00997	0.00000	0.00000	0.00830	0.00356	1.19599	0.00156	0.00000	0.01353	0.05742	0.00320	0.21949	0.00000	0.00568	0.00266	0.00156	0.00320	0.00187	0.00029	0.00000	0.02733	0.00371	0.01220	0.05537	0.05213	0.00330	0.15150	0.00600	0.00000	0.00000	0.00981	0.00687	0.00000	0.00000	0.00000	0.00000	0.00000	0.01458	0.00000	0.00000	0.21324	0.12580	0.00000	0.00000
DPYSL3	3.65377	2.28873	8.09856	7.83946	8.65516	1.58674	7.64534	4.44529	5.62164	5.69906	1.66488	5.79873	5.99738	3.31284	3.97047	5.34509	2.00203	0.08597	0.40953	0.32205	0.02317	0.03314	0.17968	0.19547	5.10371	0.00292	0.03022	0.03499	0.08141	6.21607	0.39543	0.82332	4.26476	0.95812	6.53319	6.27866	0.50666	4.57350	17.47108	1.70220	0.54926	21.58165	13.25738	14.53904	32.20982	1.36887	4.02748	2.73856	0.17898	29.14353	40.52101	16.14291	3.61301	25.02990	0.49183	0.03051	1.04683	66.76520	3.99074	7.16485	5.96244	1.31879	8.21729	20.94678	1.60612	1.44972	0.80091	1.02965	0.63622	1.21824	16.80956	2.95210
LARP4B	15.69427	10.77877	8.98272	7.34559	10.11946	10.29216	10.97870	9.77743	10.67462	9.46163	9.66643	16.84753	9.81198	9.34039	9.82774	10.36576	9.66476	10.13152	10.31423	15.03775	11.63956	12.11281	15.24654	10.00873	8.22250	11.76119	10.82422	11.03769	10.98852	7.85914	11.39603	15.36854	14.79121	15.17626	13.24212	12.93713	12.46656	10.71136	8.60142	11.59291	9.10692	13.12983	9.08209	8.85601	8.74029	13.33305	14.52389	13.69734	12.81956	19.35180	17.14519	9.31821	8.56103	11.75163	16.55699	9.43029	10.97614	13.11990	11.97462	12.60008	7.45030	17.29648	4.75072	9.06658	6.42685	11.71773	8.43027	7.51380	5.71013	7.75940	8.24023	20.06429
GNB2L1	1818.84902	2179.45116	2451.50524	3174.53396	2347.85832	2094.16033	2116.99220	2495.00196	2039.08362	2233.95312	2224.29575	1727.87001	2220.19831	2241.24607	2254.74070	2312.87411	2372.50358	2028.41180	2009.29457	984.94484	1692.40331	731.01293	1561.34181	762.81824	573.42052	398.80768	2093.58064	889.22035	1381.07990	4051.15297	3676.96124	1896.02227	1565.16279	2428.78071	1415.24885	2161.37462	2124.65585	1728.22087	1808.42258	1680.10915	820.86238	1096.46096	1222.99756	1616.68664	1634.88779	1434.17241	1845.74551	1249.69242	615.74603	1541.12811	1155.74827	1370.16032	2560.50984	1425.10633	773.11280	1403.39307	1636.48933	1204.84406	1738.59715	1460.04813	1384.05129	1121.76729	1287.13584	1699.69171	1753.08445	2001.30242	1537.64274	1508.52345	1383.52256	811.42437	1477.54041	923.34777
NUDT12	2.32284	2.58459	1.99113	2.11568	2.12681	1.41636	0.91913	3.40451	2.45174	2.20445	2.20830	1.74259	2.61891	2.00672	1.76092	2.16741	1.94824	0.18968	0.00403	0.00748	0.00994	0.12239	0.04523	0.84711	0.00413	0.00473	0.21856	0.03625	0.57870	0.73881	1.43752	0.80524	1.18490	1.45735	0.87145	1.51597	1.56700	1.60523	0.28595	0.32216	0.38078	1.11496	0.27753	1.17668	1.28741	1.78938	2.22309	2.66771	0.31687	2.13204	0.32814	0.40070	0.24900	3.00874	0.83806	0.20881	1.61923	1.11429	3.11941	1.90732	0.55908	0.68976	0.19029	0.93724	0.77877	0.23464	0.29871	1.51411	0.31912	0.25929	0.73429	1.34141
DPYSL2	7.33036	5.20508	3.73967	1.60662	4.12583	0.98099	5.57360	3.08277	3.51410	2.52295	2.59414	3.86629	2.92014	2.98960	2.44014	3.94864	2.82244	16.77644	24.04485	36.92587	12.83224	4.21553	19.75274	20.06215	1.85316	2.74812	9.98020	9.41942	2.45263	1.12416	0.58671	10.52516	0.49045	0.87362	16.56834	13.88059	0.48992	24.96048	5.77162	6.13449	31.88319	1.55871	0.33694	2.23840	2.21532	20.74868	1.23881	0.71573	32.82887	9.39621	18.32590	1.87898	8.16014	1.08176	18.90243	1.43485	0.35303	4.52349	0.28332	1.62019	4.31985	22.78295	0.98445	4.20104	2.79888	0.45213	0.36831	1.47602	8.86876	15.60062	3.33968	18.84979
DPYSL5	0.00000	0.00906	0.00000	0.02098	0.00000	0.00448	0.00779	0.00318	0.01608	0.01566	0.00715	0.00859	0.01693	0.02838	0.01611	0.02270	0.00590	0.00000	0.00000	0.00249	0.00000	0.00000	0.00000	0.00307	0.00000	0.00000	0.00000	0.00000	0.00224	0.00000	0.08777	0.00000	0.00479	0.00000	0.00000	0.00183	0.00105	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00216	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00111	0.00000	0.00125	0.00000	0.00718	0.00000	0.00649	0.00000	0.00000	0.00340	0.00000	0.00000	0.00000	0.00000	0.00338	0.00000	0.00000	0.00310	0.00078
