M1	49.198809995978685	47.99625778945623	52.872376891489324
M2	40.66683248181029	38.831559164403515	44.004647697876806
M3	89.75433565582885	60.02517477660731	99.06158404247908
M4	16.53933628272068	16.53747410623043	37.10427718146631
M5	13.609250737456074	14.315416817116182	15.259160548386612
M6	19.83442048891097	21.808060232280287	24.111098659150215
M7	17.956391222271026	18.28605997955249	20.89736886164982
M8	13.818872900111504	12.818230305482638	14.051765608581094
M9	17.13925064570132	18.837447466342365	19.17593607016014
M10	21.226944115629006	23.093612777179622	23.197743093858982
M11	35.76070972723684	29.38175253159843	32.085415419105146
