GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005634	0.000100906352862759	2.8486773757694	25.6670232531952	43	6704	nucleus
GO:0044424	0.000100906352862759	5.30082768999248	51.1273013906875	64	13354	intracellular part
GO:0043226	0.000100906352862759	4.26718309109301	48.1792691852936	62	12584	organelle
GO:0043229	0.000100906352862759	3.55492600340927	44.1477394290862	59	11531	intracellular organelle
GO:0005622	0.000292113256070546	4.76643192488263	52.4366871234728	64	13696	intracellular
GO:0043227	0.000397741684904508	3.01913028532142	44.7718033894488	58	11694	membrane-bounded organelle
GO:0043231	0.000428255308009651	2.66780489803723	40.2502111367603	54	10513	intracellular membrane-bounded organelle
GO:0000813	0.000574900907740496	76.5627705627706	0.0344575192838241	2	9	ESCRT I complex
GO:0031588	0.000929944050109604	53.5848484848485	0.0459433590450988	2	12	AMP-activated protein kinase complex
